trial,original_ns,tco_ns,method2_ns,iterative_ns
446,9573613,9687469,8481614,7170600
447,10495661,10903273,9232045,7813373
448,9614968,9752679,8658857,7168205
449,9483664,9653355,8577813,7168152
450,10022059,10308575,8815578,7404823
451,9628458,9908150,8895788,7434563
452,9567675,9885702,8811307,7365344
453,10378992,10612330,8959852,7521752
454,9448143,9686063,8746150,7325968
455,11270520,11035358,9582207,8087232
456,10110030,10468056,9171366,7758632
457,9712210,9836847,8459739,7085130
458,9249284,9347619,8384268,6880535
459,9603811,9817930,8689785,7236166
460,9650739,9859128,8643534,7198145
461,9347817,9582352,8464885,7104185
462,9248388,9356359,8369624,6883347
463,9356307,9629854,8616971,7100331
464,9319223,9478340,8509834,7024184
465,9483913,9658864,8475302,6992255
466,9456309,9601155,8609471,7049548
467,9779960,10014495,8742755,7270437
468,9269587,9429173,8657232,7177520
469,9394120,9558133,8684837,7199082
470,9363026,9486778,8337436,6925692
471,9673969,9999755,8654680,7231218
472,9152137,9347401,8456760,7005537
473,9434485,9625895,8407072,6907879
474,9104427,9253076,8396238,6929233
475,9045416,9316462,8653691,7098299
476,9873034,9998037,8555303,7165384
477,9407662,9602040,8801609,7326012
478,9348546,9570581,8579523,7048707
479,9776616,10081153,9031188,7624551
480,9594947,9700208,8420084,7044228
481,9310202,9579634,8479772,7004279
482,9430725,9606249,8711494,7157198
483,9353849,9557341,8403625,7004228
484,9266555,9403537,8367114,6969487
485,9538122,9835992,8679723,7163970
486,10499023,10739027,9001447,7553976
487,9807242,10139122,9082386,7686583
488,9463538,9740990,8958946,7434338
489,10264020,10599493,9154523,7670280
490,10159486,10430794,8731963,7471214
491,9681146,9877138,8943269,7456787
492,10030579,10012557,8665661,7256211
493,9203795,9469944,8421073,7004696
494,10246415,10462564,11007573,7314961
495,9534060,9649687,8541388,7588507
496,10128444,10341261,8717692,7287566
497,9808231,10041047,8574982,7143709
498,9106085,9196181,8330751,6774634
499,9233681,9401131,8536171,7082191
500,10079319,10378334,8711590,7326622
501,9250921,9417955,8533306,7006825
502,11012927,11446006,9292953,7877463
503,9210608,9404673,8630703,7149536
504,10438127,11009229,9340141,7964444
505,10026297,10185727,8700444,7313236
506,9406965,9604103,8563567,6987137
507,9372121,9481446,8544452,7057450
508,9843274,10133590,9077377,7509072
509,10265624,10548232,9026282,7606209
510,9607333,10106038,8424659,6932032
511,9567228,9703949,8684559,7102503
512,10062235,10283541,8578671,7290422
513,10161612,10522138,8832061,7401206
514,10513701,9622698,8455493,6995158
515,9234618,9565040,8294031,6798436
516,9349464,9493945,8452524,6993752
517,9325350,9542436,8618047,7081668
518,9455707,9755294,8703925,7320885
519,9330914,9511489,8536006,7066142
520,10143998,10544681,9367685,7915321
521,9762066,9967485,8633976,7238645
522,9267944,9383154,8336994,6915671
523,9476957,9606177,8474808,7047704
524,9035024,9232579,8370119,6933797
525,9313518,9391019,8258659,6807440
526,10503118,10895780,9098879,7735787
527,9402634,9653470,8806844,7335990
528,9312267,9399925,8345691,6922911
529,9662532,9874671,8471526,7099007
530,9524771,9714252,8561475,7068851
531,9516281,9663314,8572621,7072339
532,9610657,9837014,8666373,7272290
533,10047017,10155873,8889814,7468074
534,10455878,10698485,8937887,7532034
535,9888942,10126394,8752677,7296197
536,9599251,9851442,8650331,7279843
537,10804892,11212398,9232259,7760832
538,9244602,9398667,8520321,7099313
539,9426219,9576065,8369851,6953478
540,9947215,10330346,8902618,7457652
541,10898582,11278900,9337259,7858698
542,9908673,10221490,8949494,7475776
543,10504097,10821341,9052985,7557392
544,9928205,10110083,8624437,7169991
545,9376219,9552887,8377924,6958374
546,9413511,9383667,8325788,6906707
547,9381114,9663098,8488810,7044573
548,9390385,9650336,8640584,7197283
549,9846537,10073988,8494957,7158845
550,9661274,9980028,8890379,7429578
551,9524606,9715598,8589593,7176084
552,9393927,9828985,8800013,7099001
553,9341478,10727694,8249953,6906811
554,9506376,9666066,8414799,6976604
555,9311165,9426688,8341153,6916185
556,9602679,9762526,8346100,6963166
557,9220591,9288240,8633805,6732532
558,9649391,9882676,8570836,7149204
559,9895957,10079604,8594482,7189205
560,9688715,9879759,8559638,7107432
561,9510744,9744549,8686983,7219465
