variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,full_random,10000,8,7,120954,570408
vanilla,full_random,10000,8,8,120989,602623
vanilla,full_random,10000,8,9,121021,567411
vanilla,full_random,10000,8,10,121011,572634
vanilla,full_random,10000,8,11,121017,574221
vanilla,full_random,10000,8,12,120926,569802
vanilla,full_random,10000,8,13,120995,571797
vanilla,full_random,10000,8,14,120980,579754
vanilla,full_random,10000,8,15,120955,584394
vanilla,full_random,10000,8,16,121108,605642
vanilla,full_random,10000,8,17,120987,588703
vanilla,full_random,10000,8,18,120938,599614
vanilla,full_random,10000,8,19,121074,597608
vanilla,full_random,10000,8,20,121006,597443
vanilla,full_random,10000,8,21,120906,643719
vanilla,full_random,10000,8,22,120968,628389
vanilla,full_random,10000,8,23,121015,719950
vanilla,full_random,10000,8,24,120963,680055
vanilla,full_random,10000,8,25,120960,664538
vanilla,full_random,10000,8,26,120929,658388
vanilla,full_random,10000,8,27,120961,1940154
vanilla,full_random,10000,8,28,120971,737033
vanilla,full_random,10000,8,29,120951,684243
runs,full_random,10000,8,0,127740,801605
runs,full_random,10000,8,1,127730,820638
runs,full_random,10000,8,2,127947,911857
runs,full_random,10000,8,3,127804,654740
runs,full_random,10000,8,4,127989,643686
runs,full_random,10000,8,5,127837,637261
runs,full_random,10000,8,6,127777,680738
runs,full_random,10000,8,7,127870,635961
runs,full_random,10000,8,8,127818,636897
runs,full_random,10000,8,9,127885,591734
runs,full_random,10000,8,10,127828,609797
runs,full_random,10000,8,11,127854,577087
runs,full_random,10000,8,12,127736,625535
runs,full_random,10000,8,13,127711,622537
runs,full_random,10000,8,14,127746,591910
runs,full_random,10000,8,15,127962,590125
runs,full_random,10000,8,16,127951,603703
runs,full_random,10000,8,17,127826,610745
runs,full_random,10000,8,18,127836,679626
runs,full_random,10000,8,19,127984,611021
runs,full_random,10000,8,20,127865,599426
runs,full_random,10000,8,21,127732,584614
runs,full_random,10000,8,22,127866,590081
runs,full_random,10000,8,23,127831,600958
runs,full_random,10000,8,24,127821,639377
runs,full_random,10000,8,25,127937,665295
runs,full_random,10000,8,26,127739,606876
runs,full_random,10000,8,27,127770,597795
runs,full_random,10000,8,28,127664,592494
runs,full_random,10000,8,29,127802,583700
vanilla,random_asc_runs,10000,8,0,113586,293596
vanilla,random_asc_runs,10000,8,1,113542,295415
vanilla,random_asc_runs,10000,8,2,113466,278608
vanilla,random_asc_runs,10000,8,3,113569,298093
vanilla,random_asc_runs,10000,8,4,113490,283777
vanilla,random_asc_runs,10000,8,5,113688,280845
vanilla,random_asc_runs,10000,8,6,113395,276955
vanilla,random_asc_runs,10000,8,7,113531,278652
vanilla,random_asc_runs,10000,8,8,114006,280636
vanilla,random_asc_runs,10000,8,9,113831,280416
